"mouse","ensembl2","lower_anatomicalEntity"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC03421","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000130203","http://purl.obolibrary.org/obo/UBERON_0000451"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC03388","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000130203","http://purl.obolibrary.org/obo/UBERON_0000451"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC03419","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000130203","http://purl.obolibrary.org/obo/UBERON_0000451"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC03390","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000130203","http://purl.obolibrary.org/obo/UBERON_0000451"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC03423","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000130203","http://purl.obolibrary.org/obo/UBERON_0000451"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC03418","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000130203","http://purl.obolibrary.org/obo/UBERON_0000451"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC03420","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000130203","http://purl.obolibrary.org/obo/UBERON_0000451"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC03391","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000130203","http://purl.obolibrary.org/obo/UBERON_0000451"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC03422","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000130203","http://purl.obolibrary.org/obo/UBERON_0000451"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC03389","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000130203","http://purl.obolibrary.org/obo/UBERON_0000451"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC00052","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000130203","http://purl.obolibrary.org/obo/UBERON_0000451"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC03298","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000130203","http://purl.obolibrary.org/obo/UBERON_0000451"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC10700","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000142192","http://purl.obolibrary.org/obo/UBERON_0000451"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC10700","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000142192","http://purl.obolibrary.org/obo/UBERON_0013541"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC11518","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000142192","http://purl.obolibrary.org/obo/UBERON_0000451"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC11518","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000142192","http://purl.obolibrary.org/obo/UBERON_0013541"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC10043","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000142192","http://purl.obolibrary.org/obo/UBERON_0000451"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC10043","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000142192","http://purl.obolibrary.org/obo/UBERON_0013541"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC10701","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000142192","http://purl.obolibrary.org/obo/UBERON_0000451"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC10701","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000142192","http://purl.obolibrary.org/obo/UBERON_0013541"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC10041","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000142192","http://purl.obolibrary.org/obo/UBERON_0000451"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC10041","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000142192","http://purl.obolibrary.org/obo/UBERON_0013541"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC06344","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000142192","http://purl.obolibrary.org/obo/UBERON_0000451"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC06344","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000142192","http://purl.obolibrary.org/obo/UBERON_0013541"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC06343","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000142192","http://purl.obolibrary.org/obo/UBERON_0000451"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC06343","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000142192","http://purl.obolibrary.org/obo/UBERON_0013541"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC10042","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000142192","http://purl.obolibrary.org/obo/UBERON_0000451"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC10042","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000142192","http://purl.obolibrary.org/obo/UBERON_0013541"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC06342","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000142192","http://purl.obolibrary.org/obo/UBERON_0000451"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC06342","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000142192","http://purl.obolibrary.org/obo/UBERON_0013541"
